essay,domain1_score,cleaned_essay
" My family and I went to our vacation house once in awhile to see how things were going. We would spend a couple days or a week there. It was nice, got to hang out with our neighbors, ride quads, feed the rabbits, horses and cows, put on make-up.    Sometimes my dad and i would be sitting on the porch and look at the scenery. The beautiful suset, the trees and their colors. A crowd of deer wandering around, picking on the groumd eating the scraps of food. The cows walking along the fence line waiting for dinner to go their way. While we were sitting there we would talk about random things or play jokes on eacother and just laugh and have a good time.  One evening when we were sitting on the porch my dad asked if i would like to take a walk. I said yes and so we went into the pasture, and somehow he had a camera. We walked and talked and he took pictures of everything. I wasn't looking but suddenly he was taking pictures of me. I looked at him and i saw that the camera was facing me and his finger was holding the button and wasn't letting go of it. I ran in circles and laughing so hard that i was crying and i couldn't stop. He kept going in circles, as me, still taking pictures of me and we were just laughing and laughing.",32,family go vacation house awhile thing go spend couple day week nice get hang neighbor ride quad feed rabbit horse cow makeup dad sit porch look scenery beautiful suset tree color crowd deer wander pick groumd eat scrap food cow walk fence line wait dinner way sit talk random thing play joke eacother laugh good time evening sit porch dad ask like walk say yes go pasture camera walk talk take picture not look suddenly take picture look see camera face finger hold button not let run circle laugh hard cry not stop keep go circle take picture laugh laugh
"So one day I was at home babysitting my little brother. It was a super boring day. So go check my email, and I get an email from my boyfriend. I got excited to talk to him becuase I got my phone taken away. I open it, and it was a break up email. It was so shocking. I wanted to cry. So I called my mom on the home phone, and asked if my best friend @PERSON1 could come over. My mom said yes. I called my best friend @PERSON1 and tolled her what had happened, and asked her to come over. By this time I was crying my eyes out. @PERSON1 said yes to comeing over! @PERSON1 is my best friend in the whole world! She always knows what to do, and say when I'm upset. I was waiting for her for a long time. Her mom always takes forever when she out doing things. She finally gets to my house, and she gives me a big hug! We are always there for one a other. I have always been there when all of @CAPS1 boyfriends had dumped her so it felt nice for her to be for me this time. I haven't had as any boyfriends as she had. So we go to my room, and I'm still crying. I couldn't stop. It was like a river fellowing down my face. Being dumped really is a horriable feeling. He was the best boyfriend ever, so the he dmped me was very unlike him. @PERSON1 was just sitting there texting. I was think why are you just texting you should comforting me. I didn't want to say it so I didn't. So started to talk and we desided to go to the mall. Thats always a fun place to be. So we ask my mom. She just got home. She said no. I really didn't want to be home anywhere was better any home at that time. So we went back to my room, I was crying again. So @PERSON1 started to say bad things about my ex-boyfriend. I knew the things weren't true, but it was really really funny. We were both laughing really hard and I was starting to feel better! Yay @PERSON1 making up stupid ex-boyfriend jokes! Laughter is the best way to make everthing better!",30,day home babysitte little brother super boring day check email email boyfriend get excited talk becuase get phone take away open break email shocking want cry call mom home phone ask good friend person1 come mom say yes call good friend person1 toll happen ask come time cry eye person1 say yes come person1 good friend world know upset wait long time mom take forever thing finally get house give big hug caps1 boyfriend dump feel nice time not boyfriend room cry not stop like river fellowe face dump horriable feeling good boyfriend dmpe unlike person1 sit texte think texte comfort not want not start talk deside mall fun place ask mom get home say not want home well home time go room cry person1 start bad thing exboyfriend know thing not true funny laugh hard start feel well yay person1 make stupid exboyfriend joke laughter good way everthing well
" Hi my name is @CAPS1. I am just an ordinary girl with a story like every other girls. I'm writing this because this story means something to me and I would like to share @CAPS2. Honestly I depend on a good laugh during my day. Without laughter life would never be the same for me. Laughing has brought me to who I am today. Not only has @CAPS2 made me the person I am but @CAPS2 has brought me to all my friends and the people I love. For example I use laughter between me and my boyfriend @PERSON1.  @PERSON1 and I are just like any other couple. We have fun, do stuff together and we argue. The worst part is when we fight. just like everyone else we have hard time and we have good times. Our hard times all start when we wake up. When i wake up its still really dark outside. The smell of fresh @TIME1 air makes me feel refreshed. I always feel like the happiest girl in the world. A little while after i wake up i text @PERSON1 good @TIME1 and we usually, always talk through out the @TIME1. Some times he comes to see me or i just see him at school. When i see him i am happy and my toes curl. We will go for a walk and talk about everything and anything, just life. At this point he thinks its time to say something funny. So he does, he will make fun of how i look, what i am wearing and what i say. He doesn't find @CAPS2 hurtful but to me @CAPS2 is. Many times i might even say something mean back which doesn't help @CAPS2 just makes @CAPS2 worse.  Not long goes by, maybe a few seconds and we start to fight. He doesn't understand he has hurt me or he doesn't care. @PERSON1 tells me he has done nothing wrong. So i try to explain @CAPS2 and he doesn't listen. I just stop trying and if he realizes how he hurt me or what happened that bothered me that's fine but i am not going to fight anymore so i just stop explaining things. Enough has gone through my mind so i cry, and he gives me a dumbness look. This just makes everything worse so of course our fight breaks out and gets even worse. There is yelling and screaming with tears and mean, rotten words tossed all over the place its a mess. I usually storm of in the middle @CAPS2 cause i cant take anymore.  Finally time goes by and we haven't talked all day. We don't have anything to say to each other. Eventually someone gets the nerve to talk or say something to another. Still each of us on edge so i say something stupid or funny to lighten the mood. I will do anything to see a smile on his face, even if we have done each other wrong i still love him and cant stand for @CAPS2 to be like this anymore. Of course he smiles, just what i was looking for this makes me happy and laugh. @PERSON1 will than ask for a hug and so he hugs me even if i don't answer or if i say no, @CAPS2 doesn't matter to him. He apologizes and explains a couple things to me. I feel bad cause i hate the stress and the fight, so we work @CAPS2 out.  Now you can see if i didn't have laughter i might be depressed. Without laughter things would be harder and more complicated. But a good laugh or a simple joke can ease things and make them a lot better in life. I just want people to understand what a small laugh can do to your day. If @CAPS2 can change your day in such a big way than @CAPS2 can change your life in a major way. Things @MONTH1 come across as hard of rough. When i look back on my life and see what @CAPS2 has done to me and for me i realize i laughed at something each one of those days even though i was done and @CAPS2 brought me back up again.",36,hi caps1 ordinary girl story like girl write story mean like share caps2 honestly depend good laugh day laughter life laugh bring today caps2 person caps2 bring friend people love example use laughter boyfriend person1 person1 like couple fun stuff argue bad fight like hard time good time hard time start wake wake dark outside smell fresh time1 air make feel refresh feel like happy girl world little wake text person1 good time1 usually talk time1 time come school happy toe curl walk talk life point think time funny fun look wear not find caps2 hurtful caps2 time mean not help caps2 make caps2 bad long go maybe second start fight not understand hurt not care person1 tell wrong try explain caps2 not listen stop try realize hurt happen bother fine go fight anymore stop explain thing go mind cry give dumbness look make bad course fight break get bad yell scream tear mean rotten word toss place mess usually storm middle caps2 cause not anymore finally time go not talk day not eventually get nerve talk edge stupid funny lighten mood smile face wrong love not stand caps2 like anymore course smile look make happy laugh person1 ask hug hug not answer caps2 not matter apologize explain couple thing feel bad cause hate stress fight work caps2 not laughter depress laughter thing hard complicated good laugh simple joke ease thing lot well life want people understand small laugh day caps2 change day big way caps2 change life major way thing month1 come hard rough look life caps2 realize laugh day caps2 bring
"@PERSON1 of laughter     Once upon a time there once lived a girl named @PERSON1. The year was two thousand and fourty eight and there were only a few people that were alive after @DATE1, thats @CAPS7 the world ended. @PERSON1's friend @PERSON2 was a huge @CAPS1 freak. She would, by herself, make funny vidoes and put them on @CAPS2 @CAPS3 @CAPS4. One day she was so bored that she went and sat in front of her computer camera and made an I'm a @ORGANIZATION1"" video. It was the funniest thing @PERSON1 had ever seen. She was wearing a a @ORGANIZATION1 hat that was part of the @CAPS1 uniform, and was wearing a @CAPS1 shirt with some of the known characters. @PERSON2 was singing, ""I'm a @ORGANIZATION1. I'm a little @ORGANIZATION1 @ORGANIZATION1. I'm slitherin' slitherin' in the garden, snatching me up a mouse, a mousey mouse. I'm going to move my tongue to taste you."" @CAPS7 she was finished she posted it on the web site. @PERSON1 showed all her friends what an epic faliure that video was, @PERSON2 of course loved it and so did @PERSON1.      Once the video wasnt that cool or funny anymore, which that took about two point five days, no one really watched it and no one really laughed about it, which it was made for that purpose. But @CAPS7 someone would watch it for the first time they would go to school, laugh their butts off and feel like an idiot because everybody had already watched it, and they didnt think it was funny anymore. So from then on people called this kid all sorts of names, but the one that really stuck was @ORGANIZATION1. Eeveryone in @LOCATION1 and @ORGANIZATION2's friend group all laughed and @CAPS7 @PERSON1 and @PERSON2 didnt laugh, their friends would call them losers because they weren't laughing at the kid who was getting teased. Laughing @CAPS7 someone is being teased isn't funny. The reason why people laugh and put down others is because they are insecure about themselves and it's not a laughing matter.       @CAPS7 people watch the video of @PERSON2 saying she was a @ORGANIZATION1, that was made to make people laugh and to think was funny, @CAPS8 didn't make the rude words people say to be used to put others down.      Laughing is a key thing to a conversation but also it's healthy for people to laugh. @CAPS7 others see that people are getting made fun of, it's not a time to laugh at them, it @MONTH1 be funny in some case but, put yourself in that persons shoes, feel what they are feeling @CAPS7 people say rude and hurtful things, people could stop the people who are throwing out put downs and stand for the ones who are getting their feelings hurt. Laughing was made for things that are actually funny. Say you walk down the street, on a sidewalk, and you walk by these punk kids who think they are the bown diggity, and they are poking sticks and throwing bottles and trash on at a homeless man with his dog, while the man is on the ground in pain from thses kids kicking him to where he cant move, are you just going to walk by and laugh because you think it's funny? No @CAPS2 not, @CAPS2 going to walk, or run, over to the poor man and see if he is oaky, then you maight call the police and see if they can find the kids who did this to this poor old man. See laughing at people who are down because of words or getting beat up isn't right and peeple need to stop, this is a world that if you are the last few people on the planet, and they have known about you laughing at others pain, do you really think that they are going to help you, or just walk by and laugh like you have? People are cruel in this world and we all need someone that is going to help us if we are hurt or down because of hurtful words.      One way you benefit from laughter, you feel good and you have people that will help you in the time of need, if you laugh about the right things. Tell @CAPS2 friends that if they laugh at peoples pain and anger, that one of these days no one is going to be there to stand up for them. You could be the change we have in schools, in work envirnment, in life in genral, be the change for @CAPS2 kids and grandkids, for @CAPS2 future friends, for the future world.""",38,person1 laughter time live girl name person1 year thousand fourty people alive date1 caps7 world end person1s friend person2 huge caps1 freak funny vidoe caps2 caps3 caps4 day bored go sit computer camera organization1 video funniest thing person1 see wear organization1 hat caps1 uniform wear caps1 shirt know character person2 singe organization1 little organization1 organization1 slitherin slitherin garden snatch mouse mousey mouse go tongue taste caps7 finish post web site person1 show friend epic faliure video person2 course love person1 video not cool funny anymore take point day watch laugh purpose caps7 watch time school laugh butt feel like idiot everybody watch not think funny anymore people call kid sort name stick organization1 eeveryone location1 organization2s friend group laugh caps7 person1 person2 not laugh friend loser not laugh kid getting tease laugh caps7 tease not funny reason people laugh insecure laugh matter caps7 people watch video person2 say organization1 people laugh think funny caps8 not rude word people laugh key thing conversation healthy people laugh caps7 people getting fun time laugh month1 funny case person shoe feel feel caps7 people rude hurtful thing people stop people throw down stand one get feeling hurt laugh thing actually funny walk street sidewalk walk punk kid think bown diggity poke stick throw bottle trash homeless man dog man ground pain thse kid kick not go walk laugh think funny caps2 caps2 go walk run poor man oaky maight police find kid poor old man laugh people word getting beat not right peeple need stop world people planet know laugh pain think go help walk laugh like people cruel world need go help hurt hurtful word way benefit laughter feel good people help time need laugh right thing tell caps2 friend laugh people pain anger day go stand change school work envirnment life genral change caps2 kid grandkid caps2 future friend future world
" ""@CAPS1!"" @CAPS2 society today loves laughter. From comical shows to hilarious friends, people have fun convulsing with glee. Not to mention that when you're doubled over with laughter you are getting an amazing workout. Everyone that texts @MONTH1 use ""@CAPS3"" or ""haha"" to show they think something is funny; but it is nothing compared to actually being with friends and having, ""a smile that burst.""  I couldn't wait. I was on the coast at a camp with my friends, and we were about to head-up to walk up to the three crosses. Some of the other girls were asleep and we had to leave quietly. One of the girls tripped as we were walking out the door and it took all we had to not burst out in laughter. Because when she tripped, she barely caught herself, as she was about to fall on sleeping @CAPS4. Jasmine scurried out the door with the rest of us. After the door was closed, we all doubled over laughing. Jasmine's face, when she tripped was priceless.  We headed into the crisp air without looking back. From a gravel path to the cement road going up the hill, we happily skipped along. As the hill got steeper, we started walking. Jasmine, after being tired from skipping, almost fell again. Everyone started laughing again. The walk up the hill was taking longer than expected. Finally, we could see the three crosses at the top.  When we arrived at the crosses, we waited for the miraculous sunrise. We kept staring at the ocean; waiting with anticipation. Eventually, @CAPS5 pointed out that the sun rises on the east and would we coming over the mountains. Again, all the girls laughed because we were so tired we forgot which side the sun rose on. At last, the astonishing sunrise happened. It was full of pink, purples, yellows and oranges. After watching the sunrise we realized we still had the treacherous walk back down the hill. I peered over the edge and saw a little path. With a bunch of convincing, I got all the girls to walk down the steep hill because it looked shorter than the cement road we came up.  The first part of the path was simple. As we started heading farther down the hill it got skinnier with more brush. A couple of the girls thought we should head back up, but I convinced them otherwise. So on we went. ""@CAPS6 no!"" @CAPS7 yelled. We turned to see she had managed to let her shoe fall of into a blackberry bush. She had just gotten her shoes the day before and now they are muddy and lost. Everyone was trying to reach it, but it was just a little too far away. Suddenly, @PERSON1 tried to grab the shoe; immediately she fell into the blackberry bush! @PERSON2 forgot about her shoe for a little and started doubled over with laughter again. While flailing and screaming we yelled for her to stop because if I didn't mention this earlier; this is a very steep hill. While she was in the bush, she grabbed @PERSON2's shoe. The hard part was getting @PERSON1 out.  The first time we tried to pull her up; we got her up a couple of inches then she fell back down, into the bush. Finally, after what felt like a million tries, we pulled her big butt out of the bush. Everyone was laughing so hard during the extravaganza. @PERSON1 was super embarrassed. After all of that, we headed down the hill. We still had giggles while trotting down the trail. As we went, we saw animal tracks. We then realized the trail was most likely made by animal. A couple girls joked around about being terrified of the animal tracks. Eventually, we got back to the cabin, still laughing about what had taken place. The rest of the day everyone was happy and giggly for waking up with an amazing morning.  Laughter helped the girls have a wonderful rest of the day. Laughter helped us work through the mud, the shoe losing, and the cold. With out it, we could have been very grumpy. Also, having amazing friends to laugh with was phenomenal. Laughing helps people be happy; being happy is better than being sad; therefore, laughter is important. When writing this paper to the @ORGANIZATION1's in @LOCATION1, I told my friends about the adventure we went on and the predicament we got ourselves into. They laughed hysterically, since they knew the girls. Laugh often to be happy.",45,caps1 caps2 society today love laughter comical show hilarious friend people fun convulse glee mention double laughter get amazing workout text month1 use caps3 haha think funny compare actually friend have smile burst not wait coast camp friend headup walk crosse girl asleep leave quietly girl trip walk door take burst laughter trip barely catch fall sleep caps4 jasmine scurry door rest door close double laugh jasmine face trip priceless head crisp air look gravel path cement road go hill happily skip hill get steep start walk jasmine tired skip fall start laugh walk hill take long expect finally crosse arrive crosse wait miraculous sunrise keep stare ocean wait anticipation eventually caps5 point sun rise east come mountain girl laugh tired forgot sun rise astonishing sunrise happen pink purple yellow orange watch sunrise realize treacherous walk hill peer edge see little path bunch convince get girl walk steep hill look short cement road come path simple start head far hill get skinny brush couple girl think head convince go caps6 caps7 yell turn manage let shoe fall blackberry bush get shoe day muddy lose try reach little far away suddenly person1 try grab shoe immediately fall blackberry bush person2 forget shoe little start double laughter flail scream yell stop not mention early steep hill bush grab person2s shoe hard get person1 time try pull get couple inch fall bush finally feel like million try pull big butt bush laugh hard extravaganza person1 super embarrassed head hill giggle trot trail go see animal track realize trail likely animal couple girl joke terrify animal track eventually get cabin laugh take place rest day happy giggly wake amazing morning laughter help girl wonderful rest day laughter help work mud shoe lose cold grumpy have amazing friend laugh phenomenal laughing help people happy happy well sad laughter important write paper organization1s location1 tell friend adventure go predicament get laugh hysterically know girl laugh happy
" It's the first day of high school and your gut is full of butterflies that make you want to run to the bathrooms and hide from the world. I had @CAPS7 friends yet and I was to shy to go and join any of the groups so I walked to all of my classes alone. Students would get in my face wanting to know what school I came from and wanted to know all about me. I remember wanting to be left alone, hidden in my own bubble space. Girls would ask @CAPS5 I was upset since I wasn't smiling or having fun getting to know my new classes. Lunch was much more crowded than my old school. Students would sit in hallways eating their lunch or crowd around one big table chattering loudly to one another. I chewed on my lip looking for a spot that wasn't occupied by students. I found a table near the front of the lunch room that was empty and placed my brown lunch sack in front of me eating my peanut butter and jelly sandwich. Two boys and two girls rushed over and settled down next to me laughing at one another for not getting a seat next to me.""@CAPS1 I'm @PERSON3, what's your name?"" was a skinny boy in a black caps response to me. ""@PERSON1"" was all I replied to all of them who stared at me the entire time.""That's a pretty name, I'm @LOCATION1, this is @LOCATION2, you just met @PERSON3, and @PERSON4 is the funny kid next to you with his orange back pack,"" I smiled and nodded to them @ORGANIZATION2 had on a @CAPS2 @CAPS3 t-shirt and @PERSON2 had on a military uniform that said @CAPS4. They all ate lunch at the school and got pizza or sub sandwiches. They showed pictures of funny events on their phones to everyone even including me.""@CAPS5 that kid isn't careful he might get razor rash."" I said laughing a little looking at the picture of a little boy sliding down a slide that looked like a cheese grader. @PERSON3 took off all his pepperoni and was flinging it randomly in the air. @PERSON2 was going to take a picture of everyone for picture id on her phone. @PERSON4 was next for his picture to be taken when the pepperoni in @LOCATION3's hands slipped and landed smack on @ORGANIZATION1's face. I busted up laughing and everyone at the table joined in. @PERSON3 and I were clenching our stomachs and wiping away tears. @PERSON4 went to the bathroom to wash away the smell from his face and when he returned @PERSON2 said,""@CAPS6 my word you should see your face I took your picture right after the pepperoni hit your face and your picture is just hilarious, your mouth is hanging open like your going to eat something and like your angry."" @PERSON2 handed her phone to one person at a time and we all started to laugh again asking for @PERSON2 to send the picture to each of them.""I was wondering @CAPS5 I could be your guys friend?"" I asked looking them all in the eye. @ORGANIZATION2 was the only one to respond,""@CAPS7 you can't be our friend, @PERSON1 duh @CAPS5 we didn't want to be your friend then we wouldn't be hanging out with you."" @ORGANIZATION2 teased. My twisted gut loosened with re-leaf.""@CAPS8 we probably would have made some excuse to leave,"" @PERSON3 smiled. I laughed at myself for worrying that I wouldn't fit in or have friends who could make me laugh as hard as I did when the pepperoni stuck to @LOCATION4's face.",36,day high school gut butterfly want run bathroom hide world caps7 friend shy join group walk class student face want know school come want know remember want leave hide bubble space girl ask caps5 upset not smile have fun get know new class lunch crowded old school student sit hallway eat lunch crowd big table chatter loudly chew lip look spot not occupy student find table near lunch room place brown lunch sack eat peanut butter jelly sandwich boy girl rush settle laugh get seat mecaps1 person3 skinny boy black cap response person1 reply stare entire timethat pretty location1 location2 meet person3 person4 funny kid orange pack smile nod organization2 caps2 caps3 tshirt person2 military uniform say caps4 eat lunch school get pizza sub sandwich show picture funny event phone include mecaps5 kid not careful razor rash say laugh little look picture little boy slide slide look like cheese grader person3 take pepperoni fling randomly air person2 go picture picture phone person4 picture take pepperoni location3s hand slip land smack organization1s face bust laugh table join person3 clench stomach wipe away tear person4 go bathroom wash away smell face return person2 saidcaps6 word face take picture right pepperoni hit face picture hilarious mouth hang open like go eat like angry person2 hand phone person time start laugh ask person2 send picture themi wonder caps5 guy friend ask look eye organization2 respondcaps7 not friend person1 duh caps5 not want friend not hang organization2 tease twisted gut loosen releafcaps8 probably excuse leave person3 smile laugh worry not fit friend laugh hard pepperoni stick location4s face
" Laughter...What is laughter? Laughter is what makes the world go round.Its what makes friendship and relationship click.Laughter can lead to romance to marriage.without laughter,people would be sad and depressed.They would be stubbing there feet when they walk.People would be stressed out all the time.There would be a lot more wars.The world would not survive with out laughter.That is what I know about laughter.",24,laughterwhat laughter laughter make world roundit make friendship relationship clicklaughter lead romance marriagewithout laughterpeople sad depressedthey stub foot walkpeople stress timethere lot warsthe world survive laughterthat know laughter
"so one time my friends chad, justin and i ding dong ditched this old man. the reason we did this is because we would walk by his house everyday and he would turn on his sprinkler and this annoying alarm thing. so at like nine or ten at night we walked over to his house, banged on his door and ran. it was so funny cuz when we got back from running we went to our friend taylors house and we where sittting in the garage just basking in the glory of what we had just accomplished. about ten seconds later we heard banging on the garage door. at first we where kinda startled so we ran into taylors room, and thats when it happend... the funniest shit ever, the old mad just started scearming and banging on the door then he yelled ""come out boys what are you afraind of?!"" and we just crack up in laughter. well he totally knew we where in there so he went to the front door and started banging on that, waking up taylors mom. wel we ended up going out and talking to the guy and he said he called the cops cause he said it happened all the time. and we denied it was us, but it totally was so we couldnt help but laugh in his ugly face. he seriously looked like a turtle crossed with an eighty year old rapest. he had liver spots on his face and a terrible grey combover that wasnt fooling anyone. by the time the cops showed up the guy was long gone and we told the cop he was senile and didnt know what the hell he was talking about. so we got off scotfree. it was funny and awesome.",30,time friend chad justin de dong ditch old man reason walk house everyday turn sprinkler annoying alarm thing like night walk house bang door run funny cuz get run go friend taylor house sittte garage bask glory accomplish second later hear bang garage door kinda startle run taylor room happend funniest shit old mad start scearme bang door yell come boy afraind crack laughter totally know go door start bang wake taylor mom wel end go talk guy say call cop cause say happen time deny totally not help laugh ugly face seriously look like turtle cross eighty year old rapest liver spot face terrible grey combover not fool time cop show guy long go tell cop senile not know hell talk get scotfree funny awesome
" Laughter is one of the most important elements in one's life. If you're down, one smile, or laugh, causes your body to send messages throughout you body making you feel better. Scientists also say that it takes more muscles to frown than smile. I believe that this is true, because in order to frown, you have to make your whole body look like it's frowning, like your shoulders and your face, but only a little smile shows people that you're happy. In that way, my family is extremely beneficial to each other. Everyday when we're having a conversation, someone will bring up a story, or movie quote that they were reminded of and say it out loud to everybody with just the right accent so that it sounds exactly like the movie, and cause everyone to laugh. For example, every now and again, my brother or sister will bring up a quote from @PERSON1 or @PERSON2, two comedians we really enjoy listening to, and every person in the room would pitch in with hilarious quotes they said and this could go on all night. Or, a little while ago, my favorite movie wasGet @CAPS1 because it was quite entertaining, so we would have rampages over supper or just randomly in the kitchen quoting that one movie for at least half an hour and the room would be filled with non-stop laughter. On the other hand, someone will make a random comment because they heard wrong, or just don't understand. Like when we were having a dinner party at my house. My family and our guests were sitting at the table just finished eating when we got onto the topic of @CAPS2 @CAPS3 because my little sister was learning about them in school. We verbally completed the train of ""Which @CAPS4 ruled @CAPS5, who they came from, and @CAPS5 they're other names were"". But according to my little sister, we missed one. So, out of the blue comes ""@CAPS5 about @CAPS6?!"". Her intentions were about the @CAPS4, but I believe everyone in the room heard ""@CAPS5 about @CAPS9 @CAPS10?!"", until we paused for a second and processed @CAPS5 she meant, and we all laughed and she had no idea why until she stopped to think about it herself. Our family has good times filled with laughter and jokes, but there are also a few very depressing times. About four years ago, an incident happened with my next door neighbor that caused him to be brutally attacked and pass away on our door step. He was very dear to my family and the rest of the cul-de-sac we live in, and for him to die like that was extremely unexpected and terrible to wake up to in the middle of night. After that, there was a period of not very much laughter and fun because we were all haunted by this horror. But, we all knew that his spirit was there to protect us, and so whenever we thought of that, there was a gap between the mourning of his loss, only to be filled in with happiness and laughter. I believe that my family and I have a really tight connection between each other, because we're so funny. There's never any stress between us, but always a calm sense of familiarity and bonding. Someone once said ""Laughter is the shortest distance between two people."" I believe that, whoever that person is, is right. Even between two strangers that run into each other on the street, if they stop and have a conversation, and one person cracks a joke causing them both to laugh, it's the spark to an immediate connection, and they could become friends for a long time. This is one of the most important values that people have, and most people overlook how much it really matters to humanity.",45,laughter important element one life smile laugh cause body send message body make feel well scientist take muscle frown smile believe true order frown body look like frowning like shoulder face little smile show people happy way family extremely beneficial everyday have conversation bring story movie quote remind loud everybody right accent sound exactly like movie cause laugh example brother sister bring quote person1 person2 comedian enjoy listen person room pitch hilarious quote say night little ago favorite movie wasget caps1 entertaining rampage supper randomly kitchen quote movie half hour room fill nonstop laughter hand random comment hear wrong not understand like have dinner party house family guest sit table finish eat get topic caps2 caps3 little sister learn school verbally complete train caps4 rule caps5 come caps5 name accord little sister miss blue come caps5 caps6 intention caps4 believe room hear caps5 caps9 caps10 pause second process caps5 mean laugh idea stop think family good time fill laughter joke depressing time year ago incident happen door neighbor cause brutally attack pass away door step dear family rest culdesac live die like extremely unexpected terrible wake middle night period laughter fun haunt horror know spirit protect think gap mourning loss fill happiness laughter believe family tight connection funny stress calm sense familiarity bond say laughter short distance people believe person right stranger run street stop conversation person crack joke cause laugh spark immediate connection friend long time important value people people overlook matter humanity
" Laughter is a good part of any relationship. In some relationship with out laughter do not end well but some do but other don't. I had a relationship were that we did not laugh that much and it end shortly but I found a girl that we laugh when we need make other person happy. The relationship I'm in now with the most amzaing girl. We have a relationship with a lot of laughter. We can laugh at each other sometimes and we try to keep each of happy by making them laugh and feel good.That enough about my girlfriend and me . Now my friends and I can laugh at each when we do dumb thing in front of each other . We try to push each other on to try dumb thing so we can get some laughter in our life when we don't have girlfriends and when we are bored . when all get together that inquired are my friends and there girlfriends, and my girlfriend and me. Sometime some dumb get said and we start laughing as hard as when and sometime we don't know why we do it but it fun when we do it. Laughter is one the best thing in any relationship because it bring happiness in our lifes. So try to get some laughter in your life. Thank you for reading this.",29,laughter good relationship relationship laughter end not relationship laugh end shortly find girl laugh need person happy relationship amzaing girl relationship lot laughter laugh try happy make laugh feel goodthat girlfriend friend laugh dumb thing try push try dumb thing laughter life not girlfriend bore inquire friend girlfriend girlfriend dumb say start laugh hard not know fun laughter good thing relationship bring happiness life try laughter life thank read
